neighborhood,category,Incident number
Outer Richmond,LARCENY/THEFT,539
Outer Richmond,ASSAULT,126
Outer Richmond,VEHICLE THEFT,125
Outer Richmond,VANDALISM,116
Outer Richmond,BURGLARY,106
Outer Richmond,SUSPICIOUS OCC,95
Outer Richmond,FRAUD,52
Outer Richmond,ROBBERY,26
Outer Richmond,DRUG/NARCOTIC,22
Outer Richmond,WEAPON LAWS,16
Outer Sunset,LARCENY/THEFT,602
Outer Sunset,ASSAULT,250
Outer Sunset,VANDALISM,167
Outer Sunset,BURGLARY,163
Outer Sunset,VEHICLE THEFT,157
Outer Sunset,SUSPICIOUS OCC,147
Outer Sunset,FRAUD,73
Outer Sunset,ROBBERY,37
Outer Sunset,WEAPON LAWS,34
Outer Sunset,DRUG/NARCOTIC,25
Pacific Heights,LARCENY/THEFT,715
Pacific Heights,BURGLARY,140
Pacific Heights,VANDALISM,133
Pacific Heights,VEHICLE THEFT,128
Pacific Heights,ASSAULT,99
Pacific Heights,SUSPICIOUS OCC,77
Pacific Heights,FRAUD,61
Pacific Heights,ROBBERY,35
Pacific Heights,DRUG/NARCOTIC,32
Pacific Heights,WEAPON LAWS,11
Parkside,LARCENY/THEFT,206
Parkside,ASSAULT,90
Parkside,VANDALISM,79
Parkside,BURGLARY,68
Parkside,VEHICLE THEFT,57
Parkside,SUSPICIOUS OCC,53
Parkside,FRAUD,37
Parkside,ROBBERY,15
Parkside,DRUG/NARCOTIC,11
Parkside,WEAPON LAWS,9
Potrero Hill,LARCENY/THEFT,799
Potrero Hill,ASSAULT,326
Potrero Hill,VANDALISM,286
Potrero Hill,SUSPICIOUS OCC,210
Potrero Hill,VEHICLE THEFT,199
Potrero Hill,BURGLARY,165
Potrero Hill,DRUG/NARCOTIC,88
Potrero Hill,ROBBERY,54
Potrero Hill,WEAPON LAWS,52
Potrero Hill,FRAUD,44
Presidio,LARCENY/THEFT,128
Presidio,BURGLARY,34
Presidio,VEHICLE THEFT,28
Presidio,SUSPICIOUS OCC,26
Presidio,VANDALISM,21
Presidio,ASSAULT,16
Presidio,FRAUD,13
Presidio,DRUG/NARCOTIC,3
Presidio,ROBBERY,2
Presidio,WEAPON LAWS,1
Russian Hill,LARCENY/THEFT,676
Russian Hill,VANDALISM,129
Russian Hill,VEHICLE THEFT,97
Russian Hill,ASSAULT,81
Russian Hill,BURGLARY,55
Russian Hill,SUSPICIOUS OCC,47
Russian Hill,ROBBERY,34
Russian Hill,DRUG/NARCOTIC,18
Russian Hill,FRAUD,18
Russian Hill,WEAPON LAWS,16
Seacliff,LARCENY/THEFT,33
Seacliff,SUSPICIOUS OCC,12
Seacliff,VANDALISM,8
Seacliff,FRAUD,7
Seacliff,VEHICLE THEFT,7
Seacliff,BURGLARY,6
Seacliff,ASSAULT,2
Seacliff,WEAPON LAWS,1
South of Market,LARCENY/THEFT,6900
South of Market,ASSAULT,1695
South of Market,VANDALISM,1099
South of Market,SUSPICIOUS OCC,722
South of Market,DRUG/NARCOTIC,704
South of Market,BURGLARY,619
South of Market,VEHICLE THEFT,471
South of Market,ROBBERY,398
South of Market,FRAUD,335
South of Market,WEAPON LAWS,209
Treasure Island/YBI,VEHICLE THEFT,4
Treasure Island/YBI,ASSAULT,1
Treasure Island/YBI,FRAUD,1
Treasure Island/YBI,LARCENY/THEFT,1
Twin Peaks,LARCENY/THEFT,36
Twin Peaks,ASSAULT,23
Twin Peaks,BURGLARY,14
Twin Peaks,SUSPICIOUS OCC,13
Twin Peaks,VANDALISM,9
Twin Peaks,VEHICLE THEFT,8
Twin Peaks,DRUG/NARCOTIC,6
Twin Peaks,FRAUD,5
Twin Peaks,ROBBERY,4
Twin Peaks,WEAPON LAWS,2
Visitacion Valley,ASSAULT,108
Visitacion Valley,LARCENY/THEFT,95
Visitacion Valley,VANDALISM,81
Visitacion Valley,VEHICLE THEFT,61
Visitacion Valley,SUSPICIOUS OCC,39
Visitacion Valley,BURGLARY,32
Visitacion Valley,ROBBERY,24
Visitacion Valley,FRAUD,14
Visitacion Valley,DRUG/NARCOTIC,13
Visitacion Valley,WEAPON LAWS,6
West of Twin Peaks,LARCENY/THEFT,676
West of Twin Peaks,ASSAULT,228
West of Twin Peaks,VEHICLE THEFT,165
West of Twin Peaks,VANDALISM,132
West of Twin Peaks,SUSPICIOUS OCC,95
West of Twin Peaks,BURGLARY,88
West of Twin Peaks,ROBBERY,67
West of Twin Peaks,FRAUD,37
West of Twin Peaks,WEAPON LAWS,28
West of Twin Peaks,DRUG/NARCOTIC,24
Western Addition,LARCENY/THEFT,1042
Western Addition,ASSAULT,321
Western Addition,VANDALISM,205
Western Addition,SUSPICIOUS OCC,112
Western Addition,BURGLARY,105
Western Addition,VEHICLE THEFT,102
Western Addition,ROBBERY,68
Western Addition,FRAUD,58
Western Addition,DRUG/NARCOTIC,56
Western Addition,WEAPON LAWS,46
